Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin-sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin-tazobactam,gentamicin,Smipenem,meropenem,amikacin,cefepime,trimethoprim-sulfamethoxazole,ampicillin,amoxicillin-clavulanic acid,ertapenem,cefotaxime,tigecycline,fosfomycin,norfloxacin,ticarcillin-clavulanic acid,trimethoprim,colistin
470.8098,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.744,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7955,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7667,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7868,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8094,PTX,R,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7775,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8044,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7898,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7663,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7431,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7618,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7738,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7953,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7968,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7432,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.8015,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7948,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7886,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7872,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.8049,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7672,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7547,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7723,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7671,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7486,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7902,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7882,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7543,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7652,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7624,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.8099,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7635,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7711,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8036,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7733,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.752,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7879,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8064,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8028,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7698,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7755,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7608,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7696,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8042,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.8005,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7895,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7479,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7594,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7558,PTX,S,,,R,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7915,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7591,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8106,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7498,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7454,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7903,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7614,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7777,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7474,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7472,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7483,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8054,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8101,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7521,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7966,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7438,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.771,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7569,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7482,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7896,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7846,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7613,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7877,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8037,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7742,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7695,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7952,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7944,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8096,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7559,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7791,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.8089,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7863,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7641,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8012,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7615,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7619,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8088,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.8075,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7687,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7911,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7639,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7461,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7737,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7922,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7606,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7677,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7719,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.761,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.749,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7776,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8067,PTX,R,,,S,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7564,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7657,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7887,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7958,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8035,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7876,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.765,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7957,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7627,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7976,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7889,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8018,PTX,S,,,R,,,,,R,,,S,S,,S,,,,,,,,,,,,
470.7584,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7518,PTX,R,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.759,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7662,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7716,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7923,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7456,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7445,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7815,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7541,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7827,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7859,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7455,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7858,PTX,S,,,R,,,,,R,,,S,S,,S,,,,,,,,,,,,
470.7497,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7599,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8061,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
