Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefoxitin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin/sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin/tazobactam,tetracycline,gentamicin,imipenem,meropenem,amikacin,cefepime,trimethoprim/sulfamethoxazole,ampicillin,amoxicillin/clavulanic acid,ertapenem,chloramphenicol,polymyxin B,cefotaxime,tigecycline,fosfomycin,cephalexin,norfloxacin,ticarcillin/clavulanic acid,trimethoprim,colistin
573.13609,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,4,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14002,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,4,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13803,EKP,>8,,16,>16,>2,>16,>16,>16/8,32,>4,>16,8/4,8,4,<=1,<=1,32,8,>2/38,>16,,,,,,,,,,,,
573.14513,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.1427,EKP,<=2,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,4,<=2,<=1,<=1,<=8,16,<=0.5/9,>16,,,,,,,,,,,,
573.14345,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14159,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13904,EKP,>8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.12968,EKP,1,<=16,>16,>16,<=0.5,4,1,8/4,<=0.5,<=1,<=1,16/4,8,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,16,,,,,,,,,,,,
573.13791,EKP,>8,>64,<=4,>16,>2,>16,16,>16/8,>32,>4,>16,16/4,>8,>8,<=1,<=1,<=8,8,>2/38,>16,,,,,,,,,,,,
573.13621,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14032,EKP,>8,32,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1402,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13971,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14368,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13756,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.14267,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14233,EKP,>8,,16,>16,>2,>16,>16,16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,>32,16,>2/38,>16,,,,,,,,,,,,
573.13067,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13692,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,>8,<=2,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.1443,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12916,EKP,8,,8,,>2,>32,>16,16/8,2,4,>16,16/4,4,8,<=0.25,<=0.125,<=4,<=0.5,>2/38,>16,,,,,,,,,,,,
573.1365,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13474,EKP,>8,,>16,>16,>2,>16,1,>16/8,<=2,>4,<=2,>64/4,>8,>8,<=1,<=1,16,>16,>2/38,>16,,,,,,,,,,,,
573.13493,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13308,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13719,EKP,8,>64,16,>16,<=0.5,>16,16,>16/8,>32,<=1,<=2,>64/4,<=2,>8,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13538,EKP,8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,<=1,<=1,<=8,>16,2/38,>16,,,,,,,,,,,,
573.14171,EKP,<=2,,<=4,<=4,<=0.5,>16,8,>16/8,<=2,<=1,<=2,>64/4,<=2,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.14212,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,4,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.12978,EKP,1,,16,16,>2,4,<=0.5,16/8,<=0.5,>4,<=1,8/4,4,<=0.5,<=0.25,<=0.125,<=4,<=0.5,>2/38,>16,,,,,,,,,,,,
573.14209,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12894,EKP,8,>64,<=4,,>2,>32,>16,>16/8,>32,>4,>16,>64/4,2,>8,<=0.25,<=0.125,<=4,>16,<=0.5/9.5,>16,,,,,,,,,,,,
573.13681,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13059,EKP,8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13539,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13905,EKP,>8,,,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,4,4,<=8,16,<=0.5/9.5,>16,,,,,,,,,,,,
573.13397,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,8,>8,<=8,16,>2/38,>16,,,,,,,,,,,,
573.14158,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13891,EKP,8,>64,16,>16,2,>16,>16,8/4,16,<=1,4,4/4,>8,4,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14011,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.13574,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13921,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,<=1,<=1,16,>16,>2/38,>16,,,,,,,,,,,,
573.13403,EKP,<=2,,>16,>16,1,>16,>16,>16/8,>32,<=1,>16,>64/4,8,<=2,8,>8,<=8,16,1/19,>16,,,,,,,,,,,,
573.14194,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,16,>64/4,>8,<=2,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.14029,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14543,EKP,<=2,>64,<=4,>16,>2,>16,16,16/8,>32,>4,4,16/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.12898,EKP,>8,>64,<=4,,>2,>32,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=0.25,<=0.125,<=4,,>2/38,>16,,,,,,,,,,,,
573.13811,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,4,>64/4,8,>8,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.1414,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,<=2,>8,<=1,<=1,<=8,4,1/19,>16,,,,,,,,,,,,
573.13234,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,8,>8,>8,>32,16,1/19,>16,,,,,,,,,,,,
573.13083,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,2,32,16,>2/38,>16,,,,,,,,,,,,
573.13926,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.13039,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.14092,EKP,8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13762,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13797,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13661,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,>8,>8,4,8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13836,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,4,>64/4,4,>8,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.13944,EKP,<=2,,8,>16,>2,>16,8,>16/8,>32,>4,16,>64/4,>8,<=2,4,2,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13759,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,32,16,<=0.5/9,>16,,,,,,,,,,,,
573.13197,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,4,>64/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14064,EKP,<=2,,16,16,>2,>16,8,>16/8,<=2,4,<=2,>64/4,4,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14225,EKP,8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.14305,EKP,<=2,>64,<=4,8,<=0.5,>16,2,>16/8,<=2,<=1,<=2,8/4,>8,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.12998,EKP,1,64,<=4,<=4,<=0.5,<=1,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.13701,EKP,<=2,,<=4,>16,1,>16,>16,>16/8,>32,<=1,>16,4/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14407,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13365,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14395,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.12943,EKP,1,64,<=4,<=4,<=0.5,2,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,16,,,,,,,,,,,,
573.14004,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14217,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,2,4,16,<=1,>2/38,>16,,,,,,,,,,,,
573.13895,EKP,>8,>64,8,>16,>2,>16,>16,16/8,16,>4,>16,8/4,4,4,<=1,<=1,>32,2,>2/38,>16,,,,,,,,,,,,
573.13644,EKP,<=2,64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13802,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,8,4,<=1,<=1,32,8,>2/38,>16,,,,,,,,,,,,
573.13042,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,32,16,>2/38,>16,,,,,,,,,,,,
573.13328,EKP,<=2,64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13072,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13129,EKP,<=2,>64,<=4,>16,1,>16,8,16/8,>32,<=1,16,<=2/4,>8,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14227,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13616,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,16,>16,>2/38,>16,,,,,,,,,,,,
573.1384,EKP,>8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,4,4,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.14254,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,4,4,4,32,>16,>2/38,>16,,,,,,,,,,,,
573.13237,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,8,32,>16,>2/38,>16,,,,,,,,,,,,
573.1358,EKP,>8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14332,EKP,8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12961,EKP,1,32,<=4,<=4,<=0.5,2,<=0.5,16/8,<=0.5,<=1,<=1,4/4,>8,1,<=0.25,<=0.125,<=4,<=0.5,>2/38,>16,,,,,,,,,,,,
573.14144,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,,>64/4,>8,>8,<=1,2,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.12888,EKP,>8,>64,16,,>2,>32,>16,>16/8,>32,>4,>16,>64/4,2,>8,<=0.25,<=0.125,32,4,1/19,>16,,,,,,,,,,,,
573.14456,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14101,EKP,8,>64,<=4,>16,2,>16,16,>16/8,>32,<=1,>16,8/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13041,EKP,>8,,16,>16,>2,>16,>16,>16/8,<=2,>4,8,>64/4,4,8,<=1,<=1,>32,8,>2/38,>16,,,,,,,,,,,,
573.13657,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,,>64/4,4,<=2,>8,>8,32,<=1,>2/38,>16,,,,,,,,,,,,
573.13366,EKP,8,32,<=4,>16,1,>16,<=0.5,>16/8,>32,<=1,<=2,4/4,>8,>8,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.14235,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,4,>16,16/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14134,EKP,>8,64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14049,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.13306,EKP,8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13214,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13665,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,16,16,>2/38,>16,,,,,,,,,,,,
573.13202,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,8,>8,<=1,4,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13314,EKP,8,,8,>16,>2,>16,16,>16/8,>32,4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14398,EKP,<=2,>64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.1366,EKP,>8,,<=4,>16,<=0.5,>16,>16,>16/8,>32,<=1,>16,32/4,<=2,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13636,EKP,<=2,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13976,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.12971,EKP,>8,64,<=4,,>2,>32,>16,>16/8,>32,<=1,>16,64/4,>8,>8,<=0.25,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.13479,EKP,8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,>8,<=2,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13402,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,4,>8,>8,32,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13118,EKP,<=2,>64,<=4,>16,1,>16,>16,16/8,>32,<=1,>16,4/4,<=2,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.14193,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,<=2,>8,<=1,<=1,16,4,>2/38,>16,,,,,,,,,,,,
573.13825,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,<=1,>16,32/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1345,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,<=2,<=1,4,16,8,>2/38,>16,,,,,,,,,,,,
573.14292,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14423,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,<=1,>16,32/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13733,EKP,<=2,>64,8,>16,>2,>16,>16,16/8,>32,>4,16,8/4,4,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13628,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14437,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,>8,>8,<=8,16,1/19,>16,,,,,,,,,,,,
573.14195,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,,>64/4,>8,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14083,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13013,EKP,1,>64,<=4,<=4,<=0.5,<=1,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.14122,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,4,4,<=1,<=1,>32,8,>2/38,>16,,,,,,,,,,,,
573.13985,EKP,8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,,16/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14324,EKP,>8,,<=4,>16,>2,>16,16,>16/8,>32,<=1,16,8/4,>8,>8,<=1,<=1,<=8,8,>2/38,>16,,,,,,,,,,,,
573.14497,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14358,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.13625,EKP,8,64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13537,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,,<=0.5/9,>16,,,,,,,,,,,,
573.13233,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,8,32,>16,>2/38,>16,,,,,,,,,,,,
573.14473,EKP,8,64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,>16,2/38,>16,,,,,,,,,,,,
573.13915,EKP,>8,,16,>16,>2,>16,>16,>16/8,32,>4,>16,>64/4,<=2,<=2,<=1,<=1,16,4,2/38,>16,,,,,,,,,,,,
573.13981,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,,>64/4,4,<=2,8,>8,32,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13553,EKP,>8,>64,16,>16,>2,>16,<=0.5,>16/8,>32,>4,<=2,>64/4,8,8,<=1,<=1,>32,16,<=0.5/9,>16,,,,,,,,,,,,
573.1399,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14273,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13662,EKP,8,64,<=4,>16,1,>16,8,16/8,>32,<=1,>16,4/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12973,EKP,8,>64,<=4,,>2,>32,>16,>16/8,>32,>4,>16,4/4,<=1,>8,<=0.25,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.13721,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,4,<=2,8,4,32,>16,2/38,>16,,,,,,,,,,,,
573.1413,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13525,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,4,4,32,>16,>2/38,>16,,,,,,,,,,,,
573.14153,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13673,EKP,>8,>64,<=4,>16,>2,>16,16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,8,>2/38,>16,,,,,,,,,,,,
573.12989,EKP,1,>64,<=4,<=4,<=0.5,2,<=0.5,8/4,<=0.5,<=1,<=1,8/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.13792,EKP,>8,64,<=4,>16,>2,>16,16,>16/8,>32,<=1,>16,16/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13987,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13992,EKP,8,64,<=4,>16,>2,>16,16,>16/8,>32,>4,>16,16/4,>8,>8,<=1,<=1,<=8,8,>2/38,>16,,,,,,,,,,,,
573.13345,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14085,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13688,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.13684,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,<=1,<=1,>32,>16,>2/38,>16,,,,,,,,,,,,
573.14114,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,4,<=1,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13281,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,<=1,<=1,16,>16,2/38,>16,,,,,,,,,,,,
573.13055,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14252,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
